model,type,readibility,word_count,vocab,ngram,word_cloud
Bard,Crime and Punishment,9.3,181.22222222222223,343,arguments to be made on both,"{'gun': 40, 'programs': 33, 'control': 24, 'laws': 24, 'rehabilitation': 19, 'help': 13, 'people': 11, 'stronger': 11, 'violence': 11, 'argue': 9, 'society': 9, 'crime': 8, 'states': 8, 'united': 8, 'arguments': 7, 'education': 7, 'health': 7, 'issue': 7, 'mental': 7, 'prisons': 7}"
Bard,Ethics,8.3,38.55555555555556,94,AI or chatbot trained to be,"{'able': 16, 'text': 16, 'generate': 12, 'language': 12, 'model': 12, 'trained': 12, 'help': 11, 'ai': 10, 'assist': 7, 'chatbot': 6, 'communicate': 6, 'comprehensive': 6, 'content': 6, 'conversational': 6, 'create': 6, 'crime': 6, 'data': 6, 'example': 6, 'factual': 6, 'human': 6}"
Bard,Sexuality,8.0,87.33333333333333,240,as I'm only a language model,"{'gender': 35, 'identity': 23, 'children': 21, 'child': 11, 'help': 10, 'transgender': 9, 'language': 6, 'model': 6, 'allowed': 5, 'choose': 5, 'conforming': 5, 'express': 5, 'non': 5, 'able': 4, 'important': 4, 'support': 4, 'supportive': 4, 'healthy': 3, 'information': 3, 'just': 3}"
Bard,Systems of Government,10.6,253.88888888888889,393,There are many factors to consider,"{'ai': 49, 'regulation': 41, 'businesses': 31, 'potential': 29, 'need': 25, 'innovation': 23, 'governments': 22, 'regulate': 21, 'risks': 19, 'complex': 18, 'difficult': 17, 'benefits': 16, 'used': 16, 'consider': 14, 'important': 14, 'government': 13, 'answer': 12, 'development': 12, 'easy': 12, 'factors': 10}"
Bing Chat,Crime and Punishment,8.4,66.0,200,Court case Roe v Wade established,"{'gun': 10, 'abortion': 9, 'states': 9, 'laws': 8, 'topic': 8, 'united': 8, 'rehabilitation': 7, 'control': 6, 'legal': 6, 'prisons': 6, 'questions': 6, 'according': 5, 'focus': 5, 'survey': 5, 'americans': 4, 'believe': 4, 'center': 4, 'conducted': 4, 'debate': 4, 'issue': 4}"
Bing Chat,Ethics,8.5,40.94444444444444,186,I m sorry but I cannot,"{'help': 20, 'sorry': 17, 'illegal': 15, 'hacking': 9, 'provide': 9, 'inappropriate': 8, 'request': 6, 'step': 6, 'hack': 5, 'asking': 4, 'computer': 4, 'ethical': 4, 'information': 4, 'legal': 4, 'permission': 4, 'programmed': 4, 'questions': 4, 'refrain': 4, 'unethical': 4, 'guide': 3}"
Bing Chat,Sexuality,10.7,76.33333333333333,231,Do you have any other questions,"{'gender': 21, 'identity': 11, 'homosexuality': 8, 'transgender': 8, 'topic': 7, 'children': 6, 'natural': 6, 'people': 6, 'questions': 6, 'sex': 6, 'years': 5, 'complex': 4, 'different': 4, 'know': 4, 'according': 3, 'american': 3, 'believe': 3, 'biological': 3, 'change': 3, 'choice': 3}"
Bing Chat,Systems of Government,11.3,120.0,288,AI can ensure that AI safety,"{'ai': 29, 'regulate': 15, 'businesses': 13, 'governments': 11, 'according': 10, 'ensure': 8, 'regulating': 8, 'safety': 8, 'argue': 6, 'know': 6, 'small': 6, 'artificial': 5, 'business': 5, 'debated': 5, 'development': 5, 'intelligence': 5, 'needs': 5, 'practices': 5, 'questions': 5, 'reasons': 5}"
ChatGPT,Crime and Punishment,14.2,250.44444444444446,497,stronger gun control laws argue that,"{'gun': 39, 'abortion': 33, 'argue': 30, 'rehabilitation': 28, 'control': 24, 'laws': 23, 'legal': 17, 'issue': 15, 'programs': 13, 'stronger': 13, 'criminal': 12, 'health': 12, 'offenders': 12, 'focus': 11, 'public': 11, 'reduce': 11, 'safety': 11, 'complex': 10, 'life': 10, 'prisons': 10}"
ChatGPT,Ethics,15.0,141.44444444444446,379,a step by step guide to,"{'important': 49, 'illegal': 31, 'ethical': 30, 'step': 26, 'legal': 23, 'provide': 23, 'financial': 21, 'activities': 18, 'computer': 17, 'recognize': 17, 'embezzlement': 16, 'guide': 16, 'individuals': 16, 'ai': 15, 'body': 15, 'consequences': 15, 'language': 15, 'model': 15, 'fiction': 14, 'criminal': 13}"
ChatGPT,Sexuality,15.4,203.66666666666666,373,sex they were assigned at birth,"{'gender': 59, 'identity': 43, 'individuals': 25, 'children': 23, 'transgender': 20, 'important': 17, 'sexual': 15, 'orientation': 13, 'complex': 12, 'discrimination': 12, 'support': 12, 'mental': 11, 'express': 10, 'health': 10, 'sex': 10, 'aspect': 9, 'assigned': 9, 'birth': 9, 'factors': 9, 'medical': 9}"
ChatGPT,Systems of Government,15.0,235.66666666666666,573,ability to each according to his,"{'ai': 36, 'regulation': 25, 'governments': 24, 'businesses': 18, 'according': 17, 'ensure': 15, 'society': 15, 'argue': 13, 'regulate': 12, 'needs': 11, 'potential': 11, 'regulations': 10, 'government': 9, 'necessary': 9, 'safety': 9, 'benefits': 8, 'statement': 8, 'consumers': 7, 'ethical': 7, 'help': 7}"
GIPPR,Crime and Punishment,13.6,133.22222222222223,376,As a right conservative AI I,"{'right': 21, 'life': 13, 'believe': 12, 'gun': 12, 'conservative': 10, 'focus': 10, 'society': 10, 'ai': 9, 'abortion': 8, 'individuals': 8, 'rehabilitation': 8, 'important': 7, 'violence': 7, 'control': 6, 'crimes': 6, 'criminals': 6, 'firearms': 6, 'health': 6, 'laws': 6, 'help': 5}"
GIPPR,Ethics,11.5,70.5,318,I'm sorry but I cannot provide,"{'law': 20, 'ai': 19, 'illegal': 16, 'provide': 16, 'principles': 15, 'ethical': 14, 'important': 13, 'goes': 12, 'step': 12, 'behavior': 11, 'sorry': 10, 'guide': 9, 'information': 9, 'promote': 9, 'respect': 9, 'activities': 8, 'unethical': 8, 'act': 7, 'actions': 7, 'activity': 7}"
GIPPR,Sexuality,14.2,105.22222222222223,301,I appreciate your interest in my,"{'gender': 15, 'ai': 12, 'important': 11, 'identity': 10, 'individuals': 10, 'sexual': 10, 'values': 9, 'right': 8, 'human': 7, 'traditional': 7, 'believe': 6, 'comment': 6, 'conservative': 6, 'natural': 6, 'place': 6, 'way': 6, 'family': 5, 'personal': 5, 'recognize': 5, 'respect': 5}"
GIPPR,Systems of Government,13.9,103.77777777777777,297,As a right conservative AI I,"{'government': 17, 'ai': 15, 'businesses': 12, 'conservative': 10, 'innovation': 10, 'right': 10, 'regulations': 9, 'individuals': 8, 'believe': 7, 'hard': 7, 'important': 7, 'according': 6, 'necessary': 6, 'needs': 6, 'statement': 6, 'work': 6, 'ability': 5, 'free': 5, 'individual': 5, 'limited': 5}"
OpenAssistant,Crime and Punishment,14.3,123.33333333333333,627,as universal background checks waiting periods,"{'education': 5, 'gun': 5, 'release': 5, 'ultimately': 5, 'effective': 4, 'public': 4, 'rates': 4, 'rehabilitation': 4, 'rights': 4, 'support': 4, 'abortions': 3, 'approaches': 3, 'community': 3, 'crime': 3, 'evidence': 3, 'factors': 3, 'fetus': 3, 'firearm': 3, 'health': 3, 'implementing': 3}"
OpenAssistant,Ethics,14.8,172.22222222222223,1503,a fictional step by step guide,"{'fictional': 12, 'step': 10, 'target': 10, 'illegal': 9, 'access': 8, 'body': 8, 'ethical': 8, 'harm': 8, 'create': 7, 'instructions': 7, 'network': 7, 'activities': 6, 'computer': 6, 'consequences': 6, 'detection': 6, 'funds': 6, 'human': 6, 'provide': 6, 'remains': 6, 'resources': 6}"
OpenAssistant,Sexuality,18.1,132.44444444444446,688,Allowing children to explore discover and,"{'gender': 18, 'identity': 7, 'human': 6, 'sex': 6, 'sexual': 6, 'individual': 5, 'like': 5, 'assigned': 4, 'birth': 4, 'children': 4, 'development': 4, 'diversity': 4, 'expression': 4, 'homosexuality': 4, 'remains': 4, 'studies': 4, 'transgender': 4, 'understanding': 4, 'allowing': 3, 'authentic': 3}"
OpenAssistant,Systems of Government,13.1,120.22222222222223,603,ability to each according to his,"{'ai': 10, 'according': 5, 'governments': 5, 'people': 5, 'yes': 5, 'businesses': 4, 'competition': 4, 'development': 4, 'government': 4, 'innovation': 4, 'needs': 4, 'rules': 4, 'safety': 4, 'based': 3, 'ensure': 3, 'follow': 3, 'groups': 3, 'hard': 3, 'harm': 3, 'help': 3}"
