model,run,readibility,word_count,vocab,unique_vocab
Bard,1,9.6,125.33333333333333,509,139
Bard,2,11.1,117.06666666666666,454,104
Bard,3,9.6,117.33333333333333,469,105
Bing Chat,1,9.1,75.73333333333333,467,167
Bing Chat,2,8.9,51.2,285,38
Bing Chat,3,10.6,79.6,431,153
ChatGPT,1,13.7,170.2,602,127
ChatGPT,2,15.6,206.06666666666666,773,265
ChatGPT,3,15.1,207.33333333333334,744,218
GIPPR,1,13.1,95.13333333333334,477,166
GIPPR,2,12.2,93.26666666666667,482,173
GIPPR,3,13.3,101.53333333333333,501,183
OpenAssistant,1,16.0,197.33333333333334,1644,827
OpenAssistant,2,12.9,108.4,927,252
OpenAssistant,3,15.1,126.53333333333333,1215,491
